Category,Number,Label,Question
Culture and structure,1,Evidence,Evidence is used to make decisions and the organisation changes and adapts based on evidence.
Culture and structure,2,Learning,"There's a culture of research and anticipation, and the organisation learns from its past mistakes."
Culture and structure,3,Best practice,The organisation does not seek out best practices and innovative approaches.
Culture and structure,4,Responsive,Services are delivered in response to the identified needs of local people and there is a strong culture of incorporating ideas from practitioners.
Culture and structure,5,Silos,There is a limited amount of data capability that is fiercely protected by individual departments and there is no collaboration or flexible deployment of resources.
Culture and structure,6,Collaborative,"Technical and service teams work closely together consistently, potentially in multi-disciplinary teams, and are supportive of each other's domains and expertise."
Leadership and strategy,7,Senior managers,Senior managers are actively involved in the development of a data strategy and the delivery of important data projects. They demonstrate an appropriate understanding of relevant data techniques.
Leadership and strategy,8,Oversight,"There is no clear organisational leadership on data issues, including in terms of legal compliance roles."
Leadership and strategy,9,Councillors,"Councillors make decisions informed by data, are interested in the organisation's use of data and are ambitious for further development."
Leadership and strategy,10,Strategy,There is no formal data strategy for the organisation and data is not given importance in internal or public strategy documents.
Leadership and strategy,11,Scope,"Strategy about data recognises the full range of issues in terms of culture, leadership, the data lifecycle, skills and capabilities, systems and tools and governance and compliance."
Leadership and strategy,12,Ecosystem,"There is an understanding of how the data stewarded by the organisation, partners and subcontractors can be used to support broader public benefit, and a recognition of the organisation's role in the broader public sector data ecosystem."
Plan and design,13,Planning,No planning of data projects is undertaken and data is often provided / collected reactively in response to requests for information.
Plan and design,14,Discovery,"Data that is already held by the organisation, and others, is identified. User research is always undertaken to understand the needs of the end users of the analysis or data products being developed."
Plan and design,15,Requirements,User requirements are translated into data requirements and a clear specification is developed. Data architecture and modelling activities are undertaken. Learning from previous projects has been incorporated into ways of working.
Plan and design,16,Standards,"All data products, projects and services are built for re-use and methods and approaches are documented and made available. The team has identified the data standards which could be used in the project."
Plan and design,17,Accountability,"There are clear lines of accountability, risk assessments are undertaken and there is a cyber incident response plan where appropriate."
